iter	Passed	Remaining
531	8492	13122
532	8508	13105
533	8525	13091
534	8539	13072
535	8554	13055
536	8568	13036
537	8583	13019
538	8597	12999
539	8612	12982
540	8627	12964
541	8641	12946
542	8656	12928
543	8675	12917
544	8692	12902
545	8709	12888
546	8725	12873
547	8742	12859
548	8759	12844
549	8776	12829
550	8790	12811
551	8804	12792
552	8820	12775
553	8834	12757
554	8848	12738
555	8865	12724
556	8882	12709
557	8899	12695
558	8918	12683
559	8934	12667
560	8950	12652
561	8965	12634
562	8980	12617
563	8995	12599
564	9010	12583
565	9025	12565
566	9040	12547
567	9054	12529
568	9071	12514
569	9090	12503
570	9108	12490
571	9126	12476
572	9141	12459
573	9156	12442
574	9170	12424
575	9184	12405
576	9199	12388
577	9214	12370
578	9228	12352
579	9242	12334
580	9256	12315
581	9271	12298
582	9292	12288
583	9307	12272
584	9322	12255
585	9343	12245
586	9358	12228
587	9373	12211
588	9388	12194
589	9402	12176
590	9417	12158
591	9432	12141
592	9446	12122
593	9460	12103
594	9476	12088
595	9496	12078
596	9513	12063
597	9532	12051
598	9547	12034
599	9563	12017
600	9577	11999
601	9591	11981
602	9606	11964
603	9622	11947
604	9636	11930
605	9650	11911
606	9664	11893
607	9679	11875
608	9699	11865
609	9714	11847
610	9733	11836
611	9750	11821
612	9764	11803
613	9778	11785
614	9792	11766
615	9807	11750
616	9822	11733
617	9837	11715
618	9851	11697
619	9865	11679
620	9880	11661
621	9901	11652
622	9918	11637
623	9933	11620
624	9953	11609
625	9969	11594
626	9985	11578
627	10000	11561
628	10014	11543
629	10028	11525
630	10043	11508
631	10057	11490
632	10072	11472
633	10088	11457
634	10106	11443
635	10121	11426
636	10142	11415
637	10157	11398
638	10171	11381
639	10186	11364
640	10201	11347
641	10216	11330
642	10231	11313
643	10246	11296
644	10261	11279
645	10275	11261
646	10291	11245
647	10310	11233
648	10327	11218
649	10347	11207
650	10361	11189
651	10375	11171
652	10390	11153
653	10404	11136
654	10418	11118
655	10432	11100
656	10446	11082
657	10460	11064
658	10475	11047
659	10491	11031
660	10508	11017
661	10527	11004
662	10549	10995
663	10565	10978
664	10579	10961
665	10594	10944
666	10609	10927
667	10625	10911
668	10641	10895
669	10657	10880
670	10673	10864
671	10691	10850
672	10708	10835
673	10727	10822
674	10742	10806
675	10762	10794
676	10777	10777
677	10795	10763
678	10809	10745
679	10824	10729
680	10839	10712
681	10854	10695
682	10869	10678
683	10883	10660
684	10898	10643
685	10914	10628
686	10933	10614
687	10947	10597
688	10961	10579
689	10981	10567
690	10996	10550
691	11011	10533
692	11025	10516
693	11040	10499
694	11055	10482
695	11069	10465
696	11083	10447
697	11099	10431
698	11115	10415
699	11135	10403
700	11151	10387
701	11174	10378
702	11194	10366
703	11209	10349
704	11231	10339
705	11248	10324
706	11263	10307
707	11277	10290
708	11292	10273
709	11306	10255
710	11324	10240
711	11341	10226
712	11356	10210
713	11370	10192
714	11393	10182
715	11412	10168
716	11431	10156
717	11453	10145
718	11476	10135
719	11493	10121
720	11511	10106
721	11532	10094
722	11562	10091
723	11582	10078
724	11606	10070
725	11627	10058
726	11648	10046
727	11669	10034
728	11689	10021
729	11705	10005
730	11720	9989
731	11740	9976
732	11761	9964
733	11777	9948
734	11792	9931
735	11810	9916
736	11829	9903
737	11844	9886
738	11860	9870
739	11874	9852
740	11888	9835
741	11903	9817
742	11916	9799
743	11931	9782
744	11947	9766
745	11965	9752
746	11980	9734
747	11994	9717
748	12009	9700
749	12030	9688
750	12045	9671
751	12059	9654
752	12074	9636
753	12087	9619
754	12103	9602
755	12117	9585
756	12132	9568
757	12148	9551
758	12169	9540
759	12185	9524
760	12200	9506
761	12216	9491
762	12236	9477
763	12253	9462
764	12268	9446
765	12284	9430
766	12299	9412
767	12313	9395
768	12327	9378
769	12342	9360
770	12359	9345
771	12376	9330
772	12393	9314
773	12410	9300
774	12431	9287
775	12448	9272
776	12465	9256
777	12479	9239
778	12494	9222
779	12509	9205
780	12524	9188
781	12538	9171
782	12552	9153
783	12573	9141
784	12589	9125
785	12605	9109
786	12620	9092
787	12635	9075
788	12655	9062
789	12670	9045
790	12684	9028
791	12698	9010
792	12713	8993
793	12726	8976
794	12745	8961
795	12762	8946
796	12785	8935
797	12809	8924
798	12827	8910
799	12853	8901
800	12872	8887
801	12893	8874
802	12911	8859
803	12931	8845
804	12947	8830
805	12963	8813
806	12977	8796
807	12995	8781
808	13012	8766
809	13027	8749
810	13041	8731
811	13057	8715
812	13076	8701
813	13092	8685
814	13106	8668
815	13119	8650
816	13134	8632
817	13148	8615
818	13162	8598
819	13176	8580
820	13190	8563
821	13210	8549
822	13225	8533
823	13240	8516
824	13254	8498
825	13272	8484
826	13287	8467
827	13301	8449
828	13315	8432
829	13329	8415
830	13344	8398
831	13358	8381
832	13372	8364
833	13387	8347
834	13401	8329
835	13418	8314
836	13434	8298
837	13449	8281
838	13463	8264
839	13479	8248
840	13498	8234
841	13513	8216
842	13527	8199
843	13541	8182
844	13555	8165
845	13569	8147
846	13582	8130
847	13596	8113
848	13611	8096
849	13628	8080
850	13645	8065
851	13662	8050
852	13677	8033
853	13699	8020
854	13715	8004
855	13730	7987
856	13744	7971
857	13758	7953
858	13773	7937
859	13788	7920
860	13802	7903
861	13815	7885
862	13831	7869
863	13850	7855
864	13865	7838
865	13880	7821
866	13894	7804
867	13912	7789
868	13927	7772
869	13942	7756
870	13956	7739
871	13970	7722
872	13984	7704
873	13998	7687
874	14012	7670
875	14027	7654
876	14046	7639
877	14060	7622
878	14076	7607
879	14091	7590
880	14105	7572
881	14122	7557
882	14139	7541
883	14154	7525
884	14168	7508
885	14183	7492
886	14200	7476
887	14214	7459
888	14231	7443
889	14250	7429
890	14269	7415
891	14284	7398
892	14298	7381
893	14312	7364
894	14327	7348
895	14346	7333
896	14363	7317
897	14379	7301
898	14393	7285
899	14408	7268
900	14427	7253
901	14444	7238
902	14463	7223
903	14478	7207
904	14492	7190
905	14506	7173
906	14522	7157
907	14540	7142
908	14556	7125
909	14570	7109
910	14584	7092
911	14598	7075
912	14612	7058
913	14627	7041
914	14642	7025
915	14656	7008
916	14673	6992
917	14693	6978
918	14707	6961
919	14721	6944
920	14735	6927
921	14751	6911
922	14770	6896
923	14784	6880
924	14797	6862
925	14811	6846
926	14825	6828
927	14839	6812
928	14853	6795
929	14868	6778
930	14885	6763
931	14902	6747
932	14918	6731
933	14932	6714
934	14945	6697
935	14964	6683
936	14982	6667
937	14997	6651
938	15013	6635
939	15028	6618
940	15043	6602
941	15057	6585
942	15072	6569
943	15086	6552
944	15107	6538
945	15122	6522
946	15136	6505
947	15149	6488
948	15164	6471
949	15183	6456
950	15200	6441
951	15214	6424
952	15228	6407
953	15243	6391
954	15256	6374
955	15270	6357
956	15285	6341
957	15306	6327
958	15322	6311
959	15337	6294
960	15351	6278
961	15366	6261
962	15385	6246
963	15401	6230
964	15415	6214
965	15429	6197
966	15443	6180
967	15458	6164
968	15471	6147
969	15485	6130
970	15517	6120
971	15552	6112
972	15568	6096
973	15587	6081
974	15601	6064
975	15614	6047
976	15629	6030
977	15643	6014
978	15657	5997
979	15671	5980
980	15692	5966
981	15708	5950
982	15723	5934
983	15738	5917
984	15753	5901
985	15768	5885
986	15790	5871
987	15811	5857
988	15839	5845
989	15864	5832
990	15886	5819
991	15917	5808
992	15945	5796
993	15963	5781
994	15983	5766
995	15999	5750
996	16015	5734
997	16029	5718
998	16043	5701
999	16058	5684
1000	16072	5667
1001	16086	5651
1002	16100	5634
1003	16116	5618
1004	16135	5603
1005	16150	5586
1006	16165	5570
1007	16179	5553
1008	16198	5538
1009	16214	5522
1010	16229	5506
1011	16243	5489
1012	16257	5472
1013	16270	5455
1014	16284	5438
1015	16298	5422
1016	16312	5405
1017	16330	5389
1018	16346	5373
1019	16362	5357
1020	16376	5341
1021	16390	5324
1022	16406	5308
1023	16423	5292
1024	16438	5276
1025	16454	5260
1026	16468	5243
1027	16482	5226
1028	16496	5210
1029	16510	5193
1030	16524	5176
1031	16543	5161
1032	16558	5145
1033	16573	5129
1034	16588	5112
1035	16603	5096
1036	16624	5081
1037	16639	5065
1038	16654	5049
1039	16669	5032
1040	16684	5016
1041	16699	5000
1042	16713	4983
1043	16727	4967
1044	16742	4950
1045	16761	4935
1046	16776	4919
1047	16790	4902
1048	16805	4886
1049	16819	4869
1050	16838	4854
1051	16853	4838
1052	16869	4822
1053	16883	4805
1054	16897	4788
1055	16911	4772
1056	16924	4755
1057	16938	4738
1058	16958	4724
1059	16973	4707
1060	16987	4691
1061	17003	4675
1062	17017	4658
1063	17031	4642
1064	17048	4626
1065	17067	4611
1066	17082	4594
1067	17096	4578
1068	17111	4562
1069	17126	4545
1070	17141	4529
1071	17154	4512
1072	17171	4497
1073	17190	4481
1074	17204	4465
1075	17219	4448
1076	17233	4432
1077	17248	4416
1078	17268	4401
1079	17284	4385
1080	17298	4368
1081	17312	4352
1082	17327	4335
1083	17341	4319
1084	17355	4302
1085	17369	4286
1086	17389	4271
1087	17407	4255
1088	17422	4239
1089	17437	4223
1090	17454	4207
1091	17473	4192
1092	17489	4176
1093	17504	4160
1094	17517	4143
1095	17533	4127
1096	17547	4110
1097	17561	4094
1098	17576	4078
1099	17589	4061
1100	17609	4046
1101	17624	4030
1102	17638	4013
1103	17652	3997
1104	17672	3982
1105	17686	3965
1106	17700	3949
1107	17714	3933
1108	17728	3916
1109	17742	3900
1110	17756	3883
1111	17770	3867
1112	17786	3851
1113	17800	3834
1114	17817	3819
1115	17836	3803
1116	17851	3787
1117	17867	3771
1118	17887	3756
1119	17902	3740
1120	17917	3724
1121	17931	3707
1122	17945	3691
1123	17958	3674
1124	17971	3658
1125	17985	3641
1126	18000	3625
1127	18014	3609
1128	18031	3593
1129	18048	3577
1130	18069	3562
1131	18084	3546
1132	18099	3530
1133	18114	3514
1134	18128	3497
1135	18142	3481
1136	18158	3465
1137	18173	3449
1138	18187	3433
1139	18202	3416
1140	18216	3400
1141	18231	3384
1142	18250	3369
1143	18266	3353
1144	18284	3337
1145	18304	3322
1146	18318	3305
1147	18332	3289
1148	18347	3273
1149	18361	3257
1150	18374	3240
1151	18388	3224
1152	18403	3208
1153	18416	3191
1154	18430	3175
1155	18451	3160
1156	18467	3144
1157	18481	3128
1158	18498	3112
1159	18513	3096
1160	18529	3080
1161	18544	3064
1162	18558	3047
1163	18573	3031
1164	18590	3015
1165	18607	3000
1166	18621	2983
1167	18639	2968
1168	18656	2952
1169	18671	2936
1170	18685	2920
1171	18703	2904
1172	18722	2889
1173	18738	2872
1174	18752	2856
1175	18766	2840
1176	18781	2824
1177	18795	2808
1178	18811	2792
1179	18825	2776
1180	18841	2760
1181	18861	2744
1182	18875	2728
1183	18890	2712
1184	18906	2696
1185	18924	2680
1186	18939	2664
1187	18953	2648
1188	18967	2632
1189	18981	2615
1190	18996	2599
1191	19010	2583
